"species","preferred_species_name","tvk","rtvk","seasonal_recording_period","additional_checks_required","id_difficulty"
"Crossocerus (Crossocerus) tarsatus","Crossocerus tarsatus","NHMSYS0000875764","NHMSYS0000875805",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus vagabundus","Crossocerus vagabundus","NHMSYS0000875806","NHMSYS0000875806","05-01 to 08-31","1: This is a rare species",
"Crossocerus (Acanthocrabro) vagabundus","Crossocerus vagabundus","NHMSYS0000875745","NHMSYS0000875806",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus (Crossocerus) pusillus","Crossocerus varus","NHMSYS0000875763","NBNSYS0000145291",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus walkeri","Crossocerus walkeri","NHMSYS0000875810","NHMSYS0000875810","05-01 to 09-30","1: This is a rare species",
"Crossocerus (Blepharipus) walkeri","Crossocerus walkeri","NHMSYS0000875754","NHMSYS0000875810",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus wesmaeli","Crossocerus wesmaeli","NHMSYS0000875811","NHMSYS0000875811","05-01 to 10-31",,
"Crossocerus (Crossocerus) wesmaeli","Crossocerus wesmaeli","NHMSYS0000875767","NHMSYS0000875811",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Didineis lunicornis","Didineis lunicornis","NBNSYS0100002844","NBNSYS0100002844","07-01 to 10-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Dinetus pictus","Dinetus pictus","NHMSYS0000875825","NHMSYS0000875825","07-01 to 07-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Diodontus insidiosus","Diodontus insidiosus","NHMSYS0000875828","NHMSYS0000875828","05-01 to 10-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Diodontus luperus","Diodontus luperus","NHMSYS0000875829","NHMSYS0000875829","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Diodontus minutus","Diodontus minutus","NHMSYS0000875830","NHMSYS0000875830","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Diodontus tristis","Diodontus tristis","NHMSYS0000875831","NHMSYS0000875831","05-01 to 10-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Dryudella pinguis","Dryudella pinguis","NBNSYS0100002902","NBNSYS0100002902","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius borealis","Ectemnius borealis","NHMSYS0000875877","NHMSYS0000875877","05-01 to 09-30","1: This is a rare species",
"Ectemnius (Ectemnius) borealis","Ectemnius borealis","NHMSYS0000875869","NHMSYS0000875877",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius cavifrons","Ectemnius cavifrons","NHMSYS0000875878","NHMSYS0000875878","01-01 to 11-30",,
"Ectemnius (Clytochrysus) cavifrons","Ectemnius cavifrons","NHMSYS0000875864","NHMSYS0000875878",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius cephalotes","Ectemnius cephalotes","NHMSYS0000875879","NHMSYS0000875879","02-01 to 10-31",,
"Ectemnius (Metacrabro) cephalotes","Ectemnius cephalotes","NHMSYS0000875875","NHMSYS0000875879",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius continuus [Genus inferred]","Ectemnius continuus","NHMSYS0000875882","NBNSYS0000009513","01-01 to 10-31",,
"Ectemnius (Hypocrabro) continuus","Ectemnius continuus","NHMSYS0000875872","NBNSYS0000009513",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius dives","Ectemnius dives","NHMSYS0000875883","NHMSYS0000875883","05-01 to 09-30",,
"Ectemnius (Ectemnius) dives","Ectemnius dives","NHMSYS0000875870","NHMSYS0000875883",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius lapidarius","Ectemnius lapidarius","NHMSYS0000875885","NHMSYS0000875885","04-01 to 09-30",,
"Ectemnius (Clytochrysus) lapidarius","Ectemnius lapidarius","NHMSYS0000875865","NHMSYS0000875885",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius (Metacrabro) lituratus","Ectemnius lituratus","NHMSYS0000875876","NHMSYS0000875887",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius rubicola","Ectemnius rubicola","NHMSYS0000875893","NHMSYS0000875893","04-01 to 09-30",,
"Ectemnius (Hypocrabro) rubicola","Ectemnius rubicola","NHMSYS0000875873","NHMSYS0000875893",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius ruficornis","Ectemnius ruficornis","NHMSYS0000875894","NHMSYS0000875894","04-01 to 09-30",,
"Ectemnius (Clytochrysus) ruficornis","Ectemnius ruficornis","NHMSYS0000875866","NHMSYS0000875894",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius sexcinctus","Ectemnius sexcinctus","NBNSYS0000009512","NBNSYS0000009512","06-01 to 09-30","1: This is a rare species",
"Entomognathus brevis","Entomognathus brevis","NHMSYS0000875906","NHMSYS0000875906","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Gorytes laticinctus","Gorytes laticinctus","NHMSYS0000876005","NHMSYS0000876005","05-01 to 09-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Gorytes quadrifasciatus","Gorytes quadrifasciatus","NHMSYS0000876006","NHMSYS0000876006","06-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Harpactus tumidus","Harpactus tumidus","NHMSYS0000876038","NHMSYS0000876038","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lestiphorus bicinctus","Lestiphorus bicinctus","NHMSYS0000876239","NHMSYS0000876239","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lindenius albilabris","Lindenius albilabris","NHMSYS0000876241","NHMSYS0000876241","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lindenius panzeri","Lindenius panzeri","NHMSYS0000876242","NHMSYS0000876242","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lindenius pygmaeus","Lindenius pygmaeus","NHMSYS0000876243","NHMSYS0000876243","07-01 to 07-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Mellinus arvensis","Mellinus arvensis","NHMSYS0000876318","NHMSYS0000876318","01-01 to 11-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Mellinus crabroneus","Mellinus crabroneus","NHMSYS0000876319","NHMSYS0000876319","07-01 to 08-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Mimesa bicolor","Mimesa bicolor","NHMSYS0000876333","NHMSYS0000876333","05-01 to 08-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Mimesa bruxellensis","Mimesa bruxellensis","NHMSYS0000876334","NHMSYS0000876334","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mimesa equestris","Mimesa equestris","NBNSYS0100004083","NBNSYS0100004083","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mimesa lutaria","Mimesa lutaria","NHMSYS0000876336","NHMSYS0000876336","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mimumesa atratina","Mimumesa atratina","NHMSYS0000876339","NHMSYS0000876339","06-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mimumesa dahlbomi","Mimumesa dahlbomi","NBNSYS0100004089","NBNSYS0100004089","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mimumesa littoralis","Mimumesa littoralis","NHMSYS0000876342","NHMSYS0000876342","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mimumesa spooneri","Mimumesa spooneri","NBNSYS0100004091","NBNSYS0100004091","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mimumesa unicolor","Mimumesa unicolor","NHMSYS0000876343","NHMSYS0000876343","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Miscophus ater","Miscophus ater","NHMSYS0000876345","NHMSYS0000876345","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Miscophus bicolor","Miscophus bicolor","NHMSYS0000876346","NHMSYS0000876346",,"1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Miscophus concolor","Miscophus concolor","NBNSYS0000009479","NBNSYS0000009479","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nitela borealis","Nitela borealis","NHMSYS0000876393","NHMSYS0000876393","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nitela lucens","Nitela lucens","NHMSYS0000876394","NHMSYS0000876394","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nysson dimidiatus","Nysson dimidiatus","NHMSYS0000876469","NHMSYS0000876469","06-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nysson interruptus","Nysson interruptus","NHMSYS0000876470","NHMSYS0000876470","05-01 to 07-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Nysson spinosus","Nysson spinosus","NHMSYS0000876471","NHMSYS0000876471","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nysson trimaculatus","Nysson trimaculatus","NHMSYS0000876472","NHMSYS0000876472","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Oxybelus argentatus","Oxybelus argentatus","NHMSYS0000876522","NHMSYS0000876522","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Oxybelus mandibularis","Oxybelus mandibularis","NHMSYS0000876523","NHMSYS0000876523","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Oxybelus uniglumis","Oxybelus uniglumis","NHMSYS0000876526","NHMSYS0000876526","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus clypealis","Passaloecus clypealis","NHMSYS0000876535","NHMSYS0000876535","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus corniger","Passaloecus corniger","NHMSYS0000876536","NHMSYS0000876536","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus eremita","Passaloecus eremita","NHMSYS0000876537","NHMSYS0000876537",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus gracilis","Passaloecus gracilis","NHMSYS0000876539","NHMSYS0000876539","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus insignis","Passaloecus insignis","NHMSYS0000876541","NHMSYS0000876541","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus monilicornis","Passaloecus monilicornis","NHMSYS0000876542","NHMSYS0000876542","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus singularis","Passaloecus singularis","NHMSYS0000876544","NHMSYS0000876544","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Passaloecus turionum","Passaloecus turionum","NBNSYS0100004491","NBNSYS0100004491","05-01 to 09-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Pemphredon inornata","Pemphredon inornata","NHMSYS0000876562","NHMSYS0000876562","05-01 to 10-31",,
"Pemphredon (Cemonus) inornata","Pemphredon inornata","NHMSYS0000876551","NHMSYS0000876562",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pemphredon lethifer","Pemphredon lethifer","NBNSYS0000009551","NHMSYS0021236761","05-01 to 10-31",,
"Pemphredon (Cemonus) lethifera","Pemphredon lethifer","NHMSYS0000876552","NHMSYS0021236761",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pemphredon lugubris","Pemphredon lugubris","NHMSYS0000876563","NHMSYS0000876563","05-01 to 12-31",,
"Pemphredon (Pemphredon) lugubris","Pemphredon lugubris","NHMSYS0000876557","NHMSYS0000876563",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pemphredon morio","Pemphredon morio","NHMSYS0000876564","NHMSYS0000876564","05-01 to 09-30","1: This is a rare species",
"Pemphredon (Ceratophorus) morio","Pemphredon morio","NHMSYS0000876555","NHMSYS0000876564",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pemphredon rugifera","Pemphredon rugifer","NBNSYS0100004530","NHMSYS0021233262","06-01 to 08-31",,
"Pemphredon (Cemonus) rugifera","Pemphredon rugifer","NHMSYS0000876553","NHMSYS0021233262",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Philanthus triangulum","Philanthus triangulum","NHMSYS0000876577","NHMSYS0000876577","05-01 to 10-31",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Psen ater","Psen ater","NHMSYS0000876631","NHMSYS0000876631",,"1: This is a rare species",
"Psen (Psen) ater","Psen ater","NHMSYS0000876630","NHMSYS0000876631",,,"5: Voucher specimen required to be examined by national expert."
"Psenulus concolor","Psenulus concolor","NHMSYS0000876634","NHMSYS0000876634","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Psenulus pallipes","Psenulus pallipes","NBNSYS0000009538","NBNSYS0000009538","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Psenulus schencki","Psenulus schencki","NHMSYS0000876635","NHMSYS0000876635","05-01 to 09-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Rhopalum clavipes","Rhopalum clavipes","NHMSYS0000876655","NHMSYS0000876655","04-01 to 10-31",,
"Rhopalum (Rhopalum) clavipes","Rhopalum clavipes","NHMSYS0000876654","NHMSYS0000876655",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Rhopalum coarctatum","Rhopalum coarctatum","NHMSYS0000876656","NHMSYS0000876656","04-01 to 10-31",,
"Rhopalum (Corynopus) coarctatum","Rhopalum coarctatum","NHMSYS0000876651","NHMSYS0000876656",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Rhopalum gracile","Rhopalum gracile","NHMSYS0000876657","NHMSYS0000876657","06-01 to 08-31","1: This is a rare species",
"Rhopalum (Corynopus) gracile","Rhopalum gracile","NHMSYS0000876652","NHMSYS0000876657",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Spilomena beata","Spilomena beata","NHMSYS0000876702","NHMSYS0000876702","05-01 to 10-31",,"4: Species needs confirmation from national expert."
"Spilomena curruca","Spilomena curruca","NBNSYS0100005571","NBNSYS0100005571","06-01 to 10-31",,"4: Species needs confirmation from national expert."
"Spilomena enslini","Spilomena enslini","NHMSYS0000876704","NHMSYS0000876704","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Spilomena troglodytes","Spilomena troglodytes","NHMSYS0000876705","NHMSYS0000876705","05-01 to 10-31",,"4: Species needs confirmation from national expert."
"Stigmus pendulus","Stigmus pendulus","NHMSYS0000876716","NHMSYS0000876716","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Stigmus solskyi","Stigmus solskyi","NHMSYS0000876717","NHMSYS0000876717","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Tachysphex nitidus","Tachysphex nitidus","NHMSYS0000876732","NHMSYS0000876732","05-01 to 08-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Tachysphex pompiliformis","Tachysphex pompiliformis","NHMSYS0000876735","NHMSYS0000876735","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Tachysphex unicolor","Tachysphex unicolor","NHMSYS0000873269","NHMSYS0000873269",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Tachysphex unicolor sensu lato","Tachysphex unicolor sensu lato","NHMSYS0000873270","NHMSYS0000873270","05-01 to 07-31",,
"Trypoxylon attenuatum","Trypoxylon attenuatum","NHMSYS0000876764","NHMSYS0000876764","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Trypoxylon clavicerum","Trypoxylon clavicerum","NHMSYS0000876765","NHMSYS0000876765","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Trypoxylon figulus","Trypoxylon figulus","NHMSYS0000873271","NHMSYS0000873271",,"1: This is a rare species","4: Species needs confirmation from national expert."
"Trypoxylon figulus sensu lato","Trypoxylon figulus sensu lato","NHMSYS0000873272","NHMSYS0000873272","03-01 to 12-31",,
"Trypoxylon medium","Trypoxylon medium","NHMSYS0000876766","NHMSYS0000876766","05-01 to 10-31",,"4: Species needs confirmation from national expert."
"Trypoxylon minus","Trypoxylon minus","NHMSYS0000876767","NHMSYS0000876767","06-01 to 06-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Anteon arcuatum","Anteon arcuatum","NHMSYS0000875314","NHMSYS0000875314","05-01 to 07-31",,"4: Species needs confirmation from national expert."
"Anteon brachycerum","Anteon brachycerum","NHMSYS0000875317","NHMSYS0000875317","04-01 to 06-30",,"4: Species needs confirmation from national expert."
"Anteon ephippiger","Anteon ephippiger","NHMSYS0000875331","NHMSYS0000875331","06-01 to 09-30",,"4: Species needs confirmation from national expert."
"Anteon exiguum","Anteon exiguum","NBNSYS0100001577","NBNSYS0100001577","06-01 to 08-31",,"4: Species needs confirmation from national expert."
"Anteon faciale","Anteon faciale","NHMSYS0000875332","NHMSYS0000875332",,,"4: Species needs confirmation from national expert."
"Anteon flavicorne","Anteon flavicorne","NHMSYS0000875333","NHMSYS0000875333","05-01 to 07-31",,"4: Species needs confirmation from national expert."
"Anteon fulviventre","Anteon fulviventre","NHMSYS0000875338","NHMSYS0000875338","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Anteon gaullei","Anteon gaullei","NHMSYS0000875341","NHMSYS0000875341","06-01 to 08-31",,"4: Species needs confirmation from national expert."
"Anteon infectum","Anteon infectum","NHMSYS0000875346","NHMSYS0000875346","05-01 to 08-31",,"4: Species needs confirmation from national expert."
"Anteon jurineanum sensu lato","Anteon jurineanum sensu lato","NHMSYS0020924547","NHMSYS0020924547",,,"4: Species needs confirmation from national expert."
"Anteon jurineanum","Anteon jurineanum sensu lato","NHMSYS0000875347","NHMSYS0020924547","05-01 to 07-31",,
"Anteon pubicorne","Anteon pubicorne","NHMSYS0000875365","NHMSYS0000875365","03-01 to 08-31",,"4: Species needs confirmation from national expert."
"Anteon reticulatum","Anteon reticulatum","NHMSYS0000875367","NHMSYS0000875367","07-01 to 07-31",,"4: Species needs confirmation from national expert."
"Anteon scapulare","Anteon scapulare","NHMSYS0000875369","NHMSYS0000875369","05-01 to 07-31",,"4: Species needs confirmation from national expert."
"Anteon tripartitum","Anteon tripartitum","NHMSYS0000875378","NHMSYS0000875378","05-01 to 08-31",,"4: Species needs confirmation from national expert."
"Aphelopus atratus","Aphelopus atratus","NHMSYS0000875415","NHMSYS0000875415","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Aphelopus camus","Aphelopus camus","NHMSYS0000875416","NHMSYS0000875416",,,"4: Species needs confirmation from national expert."
"Aphelopus melaleucus","Aphelopus melaleucus","NHMSYS0000875419","NHMSYS0000875419","04-01 to 09-30",,"4: Species needs confirmation from national expert."
"Aphelopus nigriceps","Aphelopus nigriceps","NHMSYS0000875420","NHMSYS0000875420","05-01 to 06-30",,"4: Species needs confirmation from national expert."
"Aphelopus querceus","Aphelopus querceus","NBNSYS0100001612","NBNSYS0100001612","06-01 to 07-31",,"4: Species needs confirmation from national expert."
"Aphelopus serratus","Aphelopus serratus","NHMSYS0000875421","NHMSYS0000875421","05-01 to 08-31",,"4: Species needs confirmation from national expert."
"Dryinus collaris","Dryinus collaris","NHMSYS0000875854","NHMSYS0000875854","06-01 to 06-30",,"4: Species needs confirmation from national expert."
"Dryinus niger","Dryinus niger","NHMSYS0000875856","NHMSYS0000875856","07-01 to 07-31",,"4: Species needs confirmation from national expert."
"Gonatopus albosignatus","Gonatopus albosignatus","NHMSYS0020526926","NHMSYS0020526926","06-01 to 07-31",,"4: Species needs confirmation from national expert."
"Gonatopus bicolor","Gonatopus bicolor","NHMSYS0000875975","NHMSYS0000875975","06-01 to 07-31",,"4: Species needs confirmation from national expert."
"Gonatopus clavipes","Gonatopus clavipes","NHMSYS0000875976","NHMSYS0000875976","05-01 to 11-30",,"4: Species needs confirmation from national expert."
"Gonatopus distinguendus","Gonatopus distinguendus","NHMSYS0000875979","NHMSYS0000875979","06-01 to 11-30",,"4: Species needs confirmation from national expert."
"Gonatopus formicicolus","Gonatopus formicicolus","NBNSYS0100003275","NBNSYS0100003275",,,"4: Species needs confirmation from national expert."
"Gonatopus helleni","Gonatopus helleni","NHMSYS0000875983","NHMSYS0000875983",,,"4: Species needs confirmation from national expert."
"Gonatopus lunatus","Gonatopus lunatus","NHMSYS0000875985","NHMSYS0000875985","06-01 to 09-30",,"4: Species needs confirmation from national expert."
"Gonatopus pedestris","Gonatopus pedestris","NHMSYS0000875987","NHMSYS0000875987",,,"4: Species needs confirmation from national expert."
"Gonatopus striatus","Gonatopus striatus","NHMSYS0000875994","NHMSYS0000875994","05-01 to 07-31",,"4: Species needs confirmation from national expert."
"Haplogonatopus oratorius","Haplogonatopus oratorius","NHMSYS0000876036","NHMSYS0000876036","06-01 to 06-30",,"4: Species needs confirmation from national expert."
"Lonchodryinus ruficornis","Lonchodryinus ruficornis","NHMSYS0000876271","NHMSYS0000876271","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Mystrophorus formicaeformis","Mystrophorus formicaeformis","NHMSYS0000876388","NHMSYS0000876388",,,"5: Voucher specimen required to be examined by national expert."
"Embolemus ruddii","Embolemus ruddii","NHMSYS0000875903","NHMSYS0000875903","01-01 to 10-31",,"4: Species needs confirmation from national expert."
"Anergates atratulus","Anergates atratulus","NHMSYS0000875294","NHMSYS0000875294","04-01 to 09-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Cardiocondyla britteni","Cardiocondyla britteni","NHMSYS0000875602","NHMSYS0000875602",,,"5: Voucher specimen required to be examined by national expert."
"Crematogaster scutellaris","Crematogaster scutellaris","NHMSYS0000875739","NHMSYS0000875739","04-01 to 04-30",,"5: Voucher specimen required to be examined by national expert."
"Formica aquilonia","Formica aquilonia","NHMSYS0000875949","NHMSYS0000875949","02-01 to 11-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Formica cunicularia","Formica cunicularia","NHMSYS0000875952","NHMSYS0000875952",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Formica exsecta","Formica exsecta","NHMSYS0000875953","NHMSYS0000875953","04-01 to 10-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Formica fusca","Formica fusca","NHMSYS0000875954","NHMSYS0000875954","01-01 to 11-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Formica lemani","Formica lemani","NHMSYS0000875957","NHMSYS0000875957",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Formica lugubris","Formica lugubris","NHMSYS0000875958","NHMSYS0000875958",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Formica picea [Genus inferred]","Formica picea [Genus inferred]","NHMSYS0000875960","NHMSYS0000875960","04-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Formica pratensis","Formica pratensis","NHMSYS0000875961","NHMSYS0000875961","04-01 to 09-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Formica rufa","Formica rufa","NHMSYS0000875963","NHMSYS0000875963",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Formica rufibarbis","Formica rufibarbis","NHMSYS0000875964","NHMSYS0000875964","03-01 to 09-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Formica sanguinea","Formica sanguinea","NHMSYS0000875966","NHMSYS0000875966","01-01 to 10-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Formicoxenus nitidulus","Formicoxenus nitidulus","NHMSYS0000875971","NHMSYS0000875971","01-01 to 11-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hypoponera punctatissima","Hypoponera punctatissima","NHMSYS0000876120","NHMSYS0000876120",,,"4: Species needs confirmation from national expert."
"Lasius alienus","Lasius alienus","NHMSYS0000873235","NHMSYS0000873235",,,"4: Species needs confirmation from national expert."
"Lasius brunneus","Lasius brunneus","NHMSYS0000876221","NHMSYS0000876221",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasius emarginatus","Lasius emarginatus","NHMSYS0000876222","NHMSYS0000876222","04-01 to 08-31","2: Records for this species must always be verified (rarity, new arrivals, establishing species)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasius flavus","Lasius flavus","NHMSYS0000876223","NHMSYS0000876223",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasius fuliginosus","Lasius fuliginosus","NHMSYS0000876224","NHMSYS0000876224",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasius meridionalis","Lasius meridionalis","NHMSYS0000876225","NHMSYS0000876225","03-01 to 12-31",,"4: Species needs confirmation from national expert."
"Lasius mixtus","Lasius mixtus","NHMSYS0000876227","NHMSYS0000876227",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasius neglectus","Lasius neglectus","NHMSYS0020936582","NHMSYS0020936582",,,"5: Voucher specimen required to be examined by national expert."
"Lasius niger","Lasius niger","NHMSYS0000873237","NHMSYS0000873237",,,"4: Species needs confirmation from national expert."
"Lasius platythorax","Lasius platythorax","NBNSYS0100003683","NBNSYS0100003683","03-01 to 12-31",,"4: Species needs confirmation from national expert."
"Lasius psammophilus","Lasius psammophilus","NBNSYS0100003684","NBNSYS0100003684",,,"4: Species needs confirmation from national expert."
"Lasius sabularum","Lasius sabularum","NBNSYS0100003685","NBNSYS0100003685","04-01 to 09-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Lasius umbratus","Lasius umbratus","NHMSYS0000876228","NHMSYS0000876228","03-01 to 12-31",,"4: Species needs confirmation from national expert."
"Leptothorax acervorum","Leptothorax acervorum","NHMSYS0000876230","NHMSYS0000876230",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Linepithema humile","Linepithema humile","NBNSYS0100003766","NBNSYS0100003766","10-01 to 10-31",,"4: Species needs confirmation from national expert."
