"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","id_difficulty"
"Notiophilus biguttatus","Notiophilus biguttatus","NHMSYS0001719180",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Notiophilus germinyi","Notiophilus germinyi","NBNSYS0000007161","1908-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Notiophilus palustris","Notiophilus palustris","NBNSYS0000007162","1908-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Notiophilus quadripunctatus","Notiophilus quadripunctatus","NBNSYS0000007163",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Notiophilus rufipes","Notiophilus rufipes","NBNSYS0000007164",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Notiophilus substriatus","Notiophilus substriatus","NHMSYS0001719186",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Ocys harpaloides","Ocys harpaloides / tachysoides agg.","NHMSYS0001719245",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Ocys quinquestriatus","Ocys quinquestriatus","NHMSYS0001719246",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Odacantha melanura","Odacantha melanura","NBNSYS0000007457",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Olisthopus rotundatus","Olisthopus rotundatus","NBNSYS0000007318",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Omophron limbatum","Omophron limbatum","NHMSYS0001719291","1971-01-01 to present","02-01 to 10-31","1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Oodes helopioides","Oodes helopioides","NHMSYS0001719320",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Ophonus (Ophonus) ardosiacus","Ophonus ardosiacus","NHMSYS0001719336",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Ophonus (Ophonus) azureus","Ophonus azureus","NHMSYS0001719337",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Ophonus (Metophonus) cordatus","Ophonus cordatus","NHMSYS0001719325",,"04-01 to 09-30","5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Metophonus) laticollis","Ophonus laticollis","NHMSYS0001719326",,"04-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Ophonus (Metophonus) melletii","Ophonus melletii","NHMSYS0001719327","1912-01-01 to present","04-01 to 12-31","4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Metophonus) parallelus","Ophonus parallelus","NHMSYS0001719328",,"05-01 to 09-30","5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Metophonus) puncticeps","Ophonus puncticeps","NHMSYS0001719329","1912-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Metophonus) puncticollis","Ophonus puncticollis","NHMSYS0001719330"," to 1989-12-13","02-01 to 09-30","5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Metophonus) rufibarbis","Ophonus rufibarbis","NHMSYS0001719331","1912-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Metophonus) rupicola","Ophonus rupicola","NHMSYS0001719332",,"03-01 to 10-31","4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Ophonus) sabulicola","Ophonus sabulicola","NHMSYS0001719338",,"04-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Ophonus (Metophonus) schaubergerianus","Ophonus schaubergerianus","NHMSYS0001719333","1912-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Ophonus (Ophonus) stictus","Ophonus stictus","NHMSYS0001719339",,"04-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Ophonus (Metophonus) subsinuatus","Ophonus subsinuatus","NHMSYS0001719334","2001-01-01 to 1886-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Oxypselaphus obscurus","Oxypselaphus obscurus","NHMSYS0001719419",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Panagaeus bipustulatus","Panagaeus bipustulatus","NHMSYS0001719442",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Panagaeus cruxmajor","Panagaeus cruxmajor","NBNSYS0000007450",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Paradromius linearis","Paradromius linearis","NHMSYS0001719453",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Paradromius longiceps","Paradromius longiceps","NHMSYS0001719454",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Paranchus albipes","Paranchus albipes","NHMSYS0001719462",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Patrobus assimilis","Patrobus assimilis","NBNSYS0000007187",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Patrobus atrorufus","Patrobus atrorufus","NHMSYS0001719480",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Patrobus septentrionis","Patrobus septentrionis","NBNSYS0000007189",,"05-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pelophila borealis","Pelophila borealis","NBNSYS0000007151",,"06-01 to 08-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Perigona nigriceps","Perigona nigriceps","NBNSYS0000007342","1950-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Perileptus areolatus","Perileptus areolatus","NBNSYS0000007190",,"04-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Philorhizus melanocephalus","Philorhizus melanocephalus","NHMSYS0001719551",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Philorhizus notatus","Philorhizus notatus","NHMSYS0001719553",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Philorhizus quadrisignatus","Philorhizus quadrisignatus","NHMSYS0001719554",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Philorhizus sigma","Philorhizus sigma","NHMSYS0001719555",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Philorhizus vectensis","Philorhizus vectensis","NHMSYS0001719556",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Platyderus depressus","Platyderus depressus","NHMSYS0001719619",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Platynus assimilis","Platynus assimilis","NHMSYS0001719625",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Poecilus cupreus","Poecilus cupreus","NHMSYS0001719652",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Poecilus kugelanni","Poecilus kugelanni","NHMSYS0001719655",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Poecilus lepidus","Poecilus lepidus","NHMSYS0001719656",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Poecilus versicolor","Poecilus versicolor","NHMSYS0001719657",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pogonus chalceus","Pogonus chalceus","NBNSYS0000007274",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pogonus littoralis","Pogonus littoralis","NBNSYS0000007275",,"04-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pogonus luridipennis","Pogonus luridipennis","NBNSYS0000007276",,"03-01 to 09-30","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Polistichus connexus","Polistichus connexus","NHMSYS0001719662",,"05-01 to 09-30","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Porotachys bisulcatus","Porotachys bisulcatus","NHMSYS0001719676"," to 1863-12-13",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Pterostichus (Bothriopterus) adstrictus","Pterostichus adstrictus","NHMSYS0001719776",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Steropus) aethiops","Pterostichus aethiops","NHMSYS0001719799",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Pseudomaseus) anthracinus","Pterostichus anthracinus","NHMSYS0001719790",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Lyperosomus) aterrimus","Pterostichus aterrimus","NHMSYS0001719782"," to 1973-12-13",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Pterostichus) cristatus","Pterostichus cristatus","NHMSYS0001719796",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Argutor) diligens","Pterostichus diligens","NHMSYS0001719773",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Pseudomaseus) gracilis","Pterostichus gracilis","NHMSYS0001719791",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Pedius) longicollis","Pterostichus longicollis","NHMSYS0001719786",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Adelosia) macer","Pterostichus macer","NHMSYS0001719771",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Steropus) madidus","Pterostichus madidus","NHMSYS0001719800",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Omaseus) melanarius","Pterostichus melanarius","NHMSYS0001719784",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Pseudomaseus) minor","Pterostichus minor","NHMSYS0001719792",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Platysma) niger","Pterostichus niger","NHMSYS0001719788",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Pseudomaseus) nigrita","Pterostichus nigrita","NHMSYS0001719793","1990-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Pterostichus (Bothriopterus) oblongopunctatus","Pterostichus oblongopunctatus","NHMSYS0001719777",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Bothriopterus) quadrifoveolatus","Pterostichus quadrifoveolatus","NHMSYS0001719778","1916-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Pseudomaseus) rhaeticus","Pterostichus rhaeticus","NHMSYS0001719794","1990-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Pterostichus (Argutor) strenuus","Pterostichus strenuus","NHMSYS0001719774",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Pterostichus (Lagarus) vernalis","Pterostichus vernalis","NHMSYS0001719780",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Scybalicus oblongiusculus","Scybalicus oblongiusculus","NBNSYS0000007413",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Sericoda quadripunctata","Sericoda quadripunctata","NHMSYS0001720084"," to 1980-12-13","04-01 to 10-31","4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Somotrichus unifasciatus","Somotrichus unifasciatus","NHMSYS0020977486",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Sphodrus leucophthalmus","Sphodrus leucophthalmus","NBNSYS0000007313"," to 1979-12-13",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Stenolophus comma","Stenolophus comma","NHMSYS0001720160","1901-01-01 to 1901-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Stenolophus mixtus","Stenolophus mixtus","NHMSYS0001720161",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Stenolophus skrimshiranus","Stenolophus skrimshiranus","NBNSYS0000007429",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Stenolophus teutonus","Stenolophus teutonus","NBNSYS0000007430",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Stomis pumicatus","Stomis pumicatus","NBNSYS0000007277",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Syntomus foveatus","Syntomus foveatus","NHMSYS0001720279",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Syntomus obscuroguttatus","Syntomus obscuroguttatus","NHMSYS0001720281",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Syntomus truncatellus","Syntomus truncatellus","NHMSYS0001720282",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Synuchus vivalis","Synuchus vivalis","NHMSYS0001720284",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Tachys (Paratachys) bistriatus","Tachys bistriatus","NHMSYS0001720303","1934-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Tachys (Paratachys) micros","Tachys micros","NHMSYS0001720304","1924-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Tachys (Paratachys) obtusiusculus","Tachys obtusiusculus","NHMSYS0001720305","1934-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Tachys (Tachys) scutellaris","Tachys scutellaris","NHMSYS0001720307",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Thalassophilus longicornis","Thalassophilus longicornis","NBNSYS0000007193",,"04-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechoblemus micros","Trechoblemus micros","NHMSYS0001720406",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechus (Trechus) fulvus","Trechus fulvus","NBNSYS0100005870",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechus (Trechus) obtusus","Trechus obtusus","NBNSYS0100005871",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechus (Trechus) quadristriatus","Trechus quadristriatus","NBNSYS0100005872",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechus (Epaphius) rivularis","Trechus rivularis","NHMSYS0001720409",,"06-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechus (Trechus) rubens","Trechus rubens","NBNSYS0100005874",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechus (Epaphius) secalis","Trechus secalis","NHMSYS0001720410",,"04-01 to 12-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trechus (Trechus) subnotatus","Trechus subnotatus","NBNSYS0100005876","1910-01-01 to present",,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Trichocellus cognatus","Trichocellus cognatus","NBNSYS0000007417",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Trichocellus placidus","Trichocellus placidus","NBNSYS0000007418",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Zabrus tenebrioides","Zabrus tenebrioides","NBNSYS0000007374",,"04-01 to 10-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
,,"NBNSYS0100001929",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
,,"NHMSYS0001717144",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
